Attaching to keycloak-ciba
keycloak-ciba  | Updating the configuration and installing your custom providers, if any. Please wait.
keycloak-ciba  | 2025-06-19 17:32:19,613 INFO  [io.qua.dep.QuarkusAugmentor] (main) Quarkus augmentation completed in 7209ms
keycloak-ciba  | 2025-06-19 17:32:20,031 DEBUG [org.jboss.logging] (main) Logging Provider: org.jboss.logging.JBossLogManagerProvider
keycloak-ciba  | 2025-06-19 17:32:20,371 DEBUG [io.smallrye.config._private] (main) SRCFG01006: Loaded ConfigSource io.smallrye.config.ConfigSourceContext$ConfigSourceContextConfigSource with ordinal 100
keycloak-ciba  | 2025-06-19 17:32:20,371 DEBUG [io.smallrye.config._private] (main) SRCFG01006: Loaded ConfigSource DefaultValuesConfigSource with ordinal -2147483648
keycloak-ciba  | 2025-06-19 17:32:20,377 DEBUG [io.smallrye.config._private] (main) SRCFG01006: Loaded ConfigSource io.smallrye.config.ConfigSourceContext$ConfigSourceContextConfigSource with ordinal 100
keycloak-ciba  | 2025-06-19 17:32:20,377 DEBUG [io.smallrye.config._private] (main) SRCFG01006: Loaded ConfigSource DefaultValuesConfigSource with ordinal -2147483648
keycloak-ciba  | 2025-06-19 17:32:20,378 DEBUG [io.smallrye.config._private] (main) SRCFG01006: Loaded ConfigSource PropertiesConfigSource[source=CliConfigSource] with ordinal 600
keycloak-ciba  | 2025-06-19 17:32:20,378 DEBUG [io.smallrye.config._private] (main) SRCFG01006: Loaded ConfigSource KcEnvVarConfigSource with ordinal 500
keycloak-ciba  | 2025-06-19 17:32:20,378 DEBUG [io.smallrye.config._private] (main) SRCFG01006: Loaded ConfigSource QuarkusProperties with ordinal 450
keycloak-ciba  | 2025-06-19 17:32:20,378 DEBUG [io.smallrye.config._private] (main) SRCFG01006: Loaded ConfigSource PropertiesConfigSource[source=file:/opt/keycloak/bin/../conf/keycloak.conf] with ordinal 450
keycloak-ciba  | 2025-06-19 17:32:20,378 DEBUG [io.smallrye.config._private] (main) SRCFG01006: Loaded ConfigSource SysPropConfigSource with ordinal 400
keycloak-ciba  | 2025-06-19 17:32:20,378 DEBUG [io.smallrye.config._private] (main) SRCFG01006: Loaded ConfigSource EnvConfigSource with ordinal 300
keycloak-ciba  | 2025-06-19 17:32:20,378 DEBUG [io.smallrye.config._private] (main) SRCFG01006: Loaded ConfigSource PropertiesConfigSource[source=jar:file:///opt/keycloak/lib/app/keycloak.jar!/application.properties] with ordinal 250
keycloak-ciba  | 2025-06-19 17:32:20,378 DEBUG [io.smallrye.config._private] (main) SRCFG01006: Loaded ConfigSource PropertiesConfigSource[source=jar:file:///opt/keycloak/lib/lib/main/org.keycloak.keycloak-quarkus-server-24.0.3.jar!/application.properties] with ordinal 250
